rank;season_start;season_end;team;nr_games;wins;stale;loss;goals_made;goals_against;saldo;points
 1;1956;1957;AFC Ajax;34;22; 5; 7; 64; 40; 24;49
 2;1956;1957;Fortuna '54;34;20; 5; 9; 76; 48; 28;45
 3;1956;1957;Sportclub Enschede;34;15;11; 8; 81; 47; 34;41
 4;1956;1957;MVV Maastricht;34;15;10; 9; 53; 42; 11;40
 5;1956;1957;PSV;34;18; 3;13; 93; 71; 22;39
 6;1956;1957;Feijenoord;34;15; 9;10; 79; 58; 21;39
 7;1956;1957;VVV-Venlo;34;16; 6;12; 50; 53; -3;38
 8;1956;1957;Sparta Rotterdam;34;12;12;10; 66; 59;  7;36
 9;1956;1957;NAC Breda;34;14; 8;12; 59; 61; -2;36
10;1956;1957;DOS Utrecht;34;17; 1;16; 79; 75;  4;35
11;1956;1957;Rapid JC Heerlen;34;13; 7;14; 64; 63;  1;33
12;1956;1957;NOAD Tilburg;34;12; 7;15; 54; 64;-10;31
13;1956;1957;BVC Amsterdam;34;11; 8;15; 49; 67;-18;30
14;1956;1957;Groninger VAV;34; 9;10;15; 52; 66;-14;28
15;1956;1957;BVV;34;11; 4;19; 70; 76; -6;26
16;1956;1957;USV Elinkwijk;34;10; 4;20; 52; 87;-35;24
17;1956;1957;Willem II;34; 8; 6;20; 59; 79;-20;22
18;1956;1957;SC Eindhoven;34; 8; 4;22; 39; 83;-44;20
 1;1957;1958;DOS Utrecht;34;19; 9; 6; 84; 52; 32;47
 2;1957;1958;Sportclub Enschede;34;19; 9; 6; 75; 48; 27;47
 3;1957;1958;AFC Ajax;34;17; 8; 9; 62; 44; 18;42
 4;1957;1958;Fortuna '54;34;16; 8;10; 72; 53; 19;40
 5;1957;1958;MVV Maastricht;34;15; 7;12; 57; 50;  7;37
 6;1957;1958;ADO Den Haag;34;14; 7;13; 68; 56; 12;35
 7;1957;1958;VVV-Venlo;34;14; 7;13; 61; 59;  2;35
 8;1957;1958;NAC Breda;34;15; 5;14; 69; 70; -1;35
 9;1957;1958;Sparta Rotterdam;34;11;12;11; 63; 62;  1;34
10;1957;1958;PSV;34;13; 6;15; 73; 70;  3;32
11;1957;1958;Feijenoord;34;13; 6;15; 74; 76; -2;32
12;1957;1958;Rapid JC Heerlen;34;13; 5;16; 56; 67;-11;31
13;1957;1958;Blauw Wit;34;11; 8;15; 56; 59; -3;30
14;1957;1958;BVC Amsterdam;34; 9;12;13; 54; 63; -9;30
15;1957;1958;NOAD Tilburg;34;11; 7;16; 50; 76;-26;29
16;1957;1958;Groninger VAV;34;10; 8;16; 58; 63; -5;28
17;1957;1958;USV Elinkwijk;34;10; 8;16; 47; 71;-24;28
