club;season_start;season_end;nr_of_players;tag
sc Heerenveen;2021;2022;35;sc-heerenveen
sc Heerenveen;2020;2021;37;sc-heerenveen
sc Heerenveen;2019;2020;29;sc-heerenveen
sc Heerenveen;2018;2019;31;sc-heerenveen
sc Heerenveen;2017;2018;30;sc-heerenveen
sc Heerenveen;2016;2017;35;sc-heerenveen
sc Heerenveen;2015;2016;33;sc-heerenveen
sc Heerenveen;2014;2015;34;sc-heerenveen
sc Heerenveen;2013;2014;28;sc-heerenveen
sc Heerenveen;2012;2013;33;sc-heerenveen
sc Heerenveen;2011;2012;34;sc-heerenveen
sc Heerenveen;2010;2011;30;sc-heerenveen
sc Heerenveen;2009;2010;32;sc-heerenveen
sc Heerenveen;2008;2009;35;sc-heerenveen
sc Heerenveen;2007;2008;38;sc-heerenveen
sc Heerenveen;2006;2007;33;sc-heerenveen
sc Heerenveen;2005;2006;33;sc-heerenveen
sc Heerenveen;2004;2005;28;sc-heerenveen
sc Heerenveen;2003;2004;26;sc-heerenveen
sc Heerenveen;2002;2003;29;sc-heerenveen
sc Heerenveen;2001;2002;32;sc-heerenveen
sc Heerenveen;2000;2001;34;sc-heerenveen
sc Heerenveen;1999;2000;28;sc-heerenveen
sc Heerenveen;1998;1999;32;sc-heerenveen
sc Heerenveen;1997;1998;33;sc-heerenveen
sc Heerenveen;1996;1997;30;sc-heerenveen
sc Heerenveen;1995;1996;28;sc-heerenveen
sc Heerenveen;1994;1995;28;sc-heerenveen
sc Heerenveen;1993;1994;25;sc-heerenveen
sc Heerenveen;1992;1993;21;sc-heerenveen
sc Heerenveen;1991;1992;21;sc-heerenveen
sc Heerenveen;1990;1991;27;sc-heerenveen
sc Heerenveen;1989;1990;15;sc-heerenveen
sc Heerenveen;1988;1989;10;sc-heerenveen
sc Heerenveen;1987;1988;10;sc-heerenveen
sc Heerenveen;1986;1987; 8;sc-heerenveen
sc Heerenveen;1985;1986; 9;sc-heerenveen
sc Heerenveen;1984;1985; 4;sc-heerenveen
sc Heerenveen;1983;1984; 1;sc-heerenveen
sc Heerenveen;1981;1982; 1;sc-heerenveen
sc Heerenveen;1980;1981; 2;sc-heerenveen
sc Heerenveen;1979;1980; 1;sc-heerenveen
sc Heerenveen;1978;1979; 1;sc-heerenveen
sc Heerenveen;1977;1978; 1;sc-heerenveen
sc Heerenveen;1976;1977; 3;sc-heerenveen
sc Heerenveen;1975;1976; 3;sc-heerenveen
sc Heerenveen;1974;1975; 5;sc-heerenveen
sc Heerenveen;1973;1974; 6;sc-heerenveen
sc Heerenveen;1972;1973; 4;sc-heerenveen
sc Heerenveen;1971;1972; 2;sc-heerenveen
sc Heerenveen;1970;1971; 1;sc-heerenveen
sc Heerenveen;1965;1966; 1;sc-heerenveen
sc Heerenveen;1962;1963; 1;sc-heerenveen
sc Heerenveen;1961;1962; 1;sc-heerenveen
sc Heerenveen;1958;1959; 1;sc-heerenveen
sc Heerenveen;1957;1958; 1;sc-heerenveen
sc Heerenveen;1955;1956; 1;sc-heerenveen
sc Heerenveen;1954;1955; 3;sc-heerenveen
sc Heerenveen;1953;1954; 3;sc-heerenveen
sc Heerenveen;1952;1953; 3;sc-heerenveen
sc Heerenveen;1951;1952; 3;sc-heerenveen
sc Heerenveen;1950;1951; 2;sc-heerenveen
sc Heerenveen;1949;1950; 2;sc-heerenveen
sc Heerenveen;1948;1949; 2;sc-heerenveen
sc Heerenveen;1947;1948; 2;sc-heerenveen
sc Heerenveen;1946;1947; 2;sc-heerenveen
sc Heerenveen;1945;1946; 2;sc-heerenveen
sc Heerenveen;1944;1945; 1;sc-heerenveen
sc Heerenveen;1943;1944; 1;sc-heerenveen
sc Heerenveen;1942;1943; 1;sc-heerenveen
sc Heerenveen;1941;1942; 1;sc-heerenveen
sc Heerenveen;1940;1941; 1;sc-heerenveen
sc Heerenveen;1939;1940; 1;sc-heerenveen
sc Heerenveen;1938;1939; 1;sc-heerenveen
sc Heerenveen;1937;1938; 2;sc-heerenveen
sc Heerenveen;1936;1937; 2;sc-heerenveen
sc Heerenveen;1935;1936; 1;sc-heerenveen
sc Heerenveen;1932;1933; 1;sc-heerenveen
Fortuna Sittard;2021;2022;33;fortuna-sittard
Fortuna Sittard;2020;2021;33;fortuna-sittard
Fortuna Sittard;2019;2020;36;fortuna-sittard
Fortuna Sittard;2018;2019;39;fortuna-sittard
Fortuna Sittard;2017;2018;35;fortuna-sittard
Fortuna Sittard;2016;2017;32;fortuna-sittard
Fortuna Sittard;2015;2016;35;fortuna-sittard
Fortuna Sittard;2014;2015;35;fortuna-sittard
Fortuna Sittard;2013;2014;34;fortuna-sittard
Fortuna Sittard;2012;2013;31;fortuna-sittard
Fortuna Sittard;2011;2012;32;fortuna-sittard
Fortuna Sittard;2010;2011;40;fortuna-sittard
Fortuna Sittard;2009;2010;28;fortuna-sittard
Fortuna Sittard;2008;2009;29;fortuna-sittard
Fortuna Sittard;2007;2008;29;fortuna-sittard
Fortuna Sittard;2006;2007;29;fortuna-sittard
Fortuna Sittard;2005;2006;26;fortuna-sittard
Fortuna Sittard;2004;2005;33;fortuna-sittard
Fortuna Sittard;2003;2004;25;fortuna-sittard
Fortuna Sittard;2002;2003;28;fortuna-sittard
Fortuna Sittard;2001;2002;35;fortuna-sittard
Fortuna Sittard;2000;2001;34;fortuna-sittard
Fortuna Sittard;1999;2000;29;fortuna-sittard
Fortuna Sittard;1998;1999;26;fortuna-sittard
Fortuna Sittard;1997;1998;28;fortuna-sittard
Fortuna Sittard;1996;1997;26;fortuna-sittard
Fortuna Sittard;1995;1996;26;fortuna-sittard
Fortuna Sittard;1994;1995;21;fortuna-sittard
Fortuna Sittard;1993;1994;26;fortuna-sittard
Fortuna Sittard;1992;1993;27;fortuna-sittard
Fortuna Sittard;1991;1992;24;fortuna-sittard
Fortuna Sittard;1990;1991;28;fortuna-sittard
Fortuna Sittard;1989;1990;26;fortuna-sittard
Fortuna Sittard;1988;1989;27;fortuna-sittard
Fortuna Sittard;1987;1988;24;fortuna-sittard
Fortuna Sittard;1986;1987;23;fortuna-sittard
Fortuna Sittard;1985;1986;24;fortuna-sittard
Fortuna Sittard;1984;1985;25;fortuna-sittard
Fortuna Sittard;1983;1984;22;fortuna-sittard
Fortuna Sittard;1982;1983;21;fortuna-sittard
Fortuna Sittard;1981;1982;16;fortuna-sittard
Fortuna Sittard;1980;1981;15;fortuna-sittard
Fortuna Sittard;1979;1980;11;fortuna-sittard
FSC Geleen;1978;1979; 5;fortuna-sittard
FSC Geleen;1977;1978; 4;fortuna-sittard
FSC Geleen;1976;1977; 4;fortuna-sittard
FSC Geleen;1975;1976; 4;fortuna-sittard
FSC Geleen;1974;1975; 5;fortuna-sittard
FSC Geleen;1973;1974; 7;fortuna-sittard
FSC Geleen;1972;1973; 7;fortuna-sittard
FSC Geleen;1971;1972; 6;fortuna-sittard
FSC Geleen;1970;1971; 7;fortuna-sittard
FSC Geleen;1969;1970; 3;fortuna-sittard
FSC Geleen;1968;1969;25;fortuna-sittard
Fortuna Sittard;1967;1968;24;fortuna-sittard
Fortuna Sittard;1966;1967;20;fortuna-sittard
Fortuna Sittard;1965;1966;18;fortuna-sittard
Fortuna Sittard;1945;1946; 1;fortuna-sittard
SC Cambuur;2021;2022;33;sc-cambuur
SC Cambuur;2020;2021;36;sc-cambuur
SC Cambuur;2019;2020;35;sc-cambuur
SC Cambuur;2018;2019;32;sc-cambuur
SC Cambuur;2017;2018;34;sc-cambuur
SC Cambuur;2016;2017;34;sc-cambuur
SC Cambuur;2015;2016;35;sc-cambuur
SC Cambuur;2014;2015;30;sc-cambuur
SC Cambuur;2013;2014;30;sc-cambuur
SC Cambuur;2012;2013;27;sc-cambuur
SC Cambuur;2011;2012;30;sc-cambuur
SC Cambuur;2010;2011;28;sc-cambuur
SC Cambuur;2009;2010;29;sc-cambuur
SC Cambuur;2008;2009;28;sc-cambuur
SC Cambuur;2007;2008;29;sc-cambuur
SC Cambuur;2006;2007;31;sc-cambuur
SC Cambuur;2005;2006;25;sc-cambuur
SC Cambuur;2004;2005;28;sc-cambuur
SC Cambuur;2003;2004;29;sc-cambuur
SC Cambuur;2002;2003;29;sc-cambuur
SC Cambuur;2001;2002;23;sc-cambuur
SC Cambuur;2000;2001;25;sc-cambuur
SC Cambuur;1999;2000;26;sc-cambuur
SC Cambuur;1998;1999;26;sc-cambuur
SC Cambuur;1997;1998;26;sc-cambuur
SC Cambuur;1996;1997;28;sc-cambuur
SC Cambuur;1995;1996;21;sc-cambuur
SC Cambuur;1994;1995;18;sc-cambuur
SC Cambuur;1993;1994;27;sc-cambuur
SC Cambuur;1992;1993;25;sc-cambuur
SC Cambuur;1991;1992;17;sc-cambuur
SC Cambuur;1990;1991;11;sc-cambuur
SC Cambuur;1989;1990; 6;sc-cambuur
SC Cambuur;1988;1989; 9;sc-cambuur
SC Cambuur;1987;1988; 8;sc-cambuur
SC Cambuur;1986;1987; 8;sc-cambuur
SC Cambuur;1985;1986; 4;sc-cambuur
SC Cambuur;1984;1985;10;sc-cambuur
SC Cambuur;1983;1984; 9;sc-cambuur
SC Cambuur;1982;1983; 6;sc-cambuur
SC Cambuur;1981;1982; 7;sc-cambuur
SC Cambuur;1980;1981; 8;sc-cambuur
SC Cambuur;1979;1980; 8;sc-cambuur
SC Cambuur;1978;1979; 6;sc-cambuur
SC Cambuur;1977;1978; 5;sc-cambuur
SC Cambuur;1976;1977; 5;sc-cambuur
SC Cambuur;1975;1976; 3;sc-cambuur
SC Cambuur;1974;1975; 2;sc-cambuur
SC Cambuur;1973;1974; 3;sc-cambuur
SC Cambuur;1972;1973; 5;sc-cambuur
SC Cambuur;1971;1972; 4;sc-cambuur
SC Cambuur;1970;1971; 2;sc-cambuur
SC Cambuur;1969;1970; 3;sc-cambuur
SC Cambuur;1968;1969; 2;sc-cambuur
SC Cambuur;1967;1968; 1;sc-cambuur
SC Cambuur;1966;1967; 1;sc-cambuur
SC Cambuur;1965;1966; 1;sc-cambuur
SC Cambuur;1964;1965; 2;sc-cambuur
